benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m5.py,100,50,5,1,20290252,SUCCESS,0.697728,
rqc_q100_g50_m5.py,100,50,5,2,20290253,SUCCESS,0.233676,
rqc_q100_g50_m5.py,100,50,5,3,20290254,SUCCESS,0.686642,
rqc_q100_g50_m5.py,100,50,5,4,20290255,SUCCESS,0.233672,
rqc_q100_g50_m5.py,100,50,5,5,20290256,SUCCESS,0.675496,
rqc_q100_g50_m5.py,100,50,5,6,20290257,SUCCESS,0.234914,
rqc_q100_g50_m5.py,100,50,5,7,20290258,SUCCESS,1.573833,
rqc_q100_g50_m5.py,100,50,5,8,20290259,SUCCESS,0.236565,
rqc_q100_g50_m5.py,100,50,5,9,20290260,SUCCESS,1.531265,
rqc_q100_g50_m5.py,100,50,5,10,20290261,SUCCESS,0.993729,
rqc_q100_g50_m5.py,100,50,5,11,20290262,SUCCESS,0.227772,
rqc_q100_g50_m5.py,100,50,5,12,20290263,SUCCESS,0.233366,
rqc_q100_g50_m5.py,100,50,5,13,20290264,SUCCESS,0.232212,
rqc_q100_g50_m5.py,100,50,5,14,20290265,SUCCESS,1.332151,
rqc_q100_g50_m5.py,100,50,5,15,20290266,SUCCESS,0.234298,
rqc_q100_g50_m5.py,100,50,5,16,20290267,SUCCESS,1.474209,
rqc_q100_g50_m5.py,100,50,5,17,20290268,SUCCESS,0.236029,
rqc_q100_g50_m5.py,100,50,5,18,20290269,SUCCESS,0.235152,
rqc_q100_g50_m5.py,100,50,5,19,20290270,SUCCESS,0.236729,
rqc_q100_g50_m5.py,100,50,5,20,20290271,SUCCESS,0.689859,
rqc_q100_g50_m5.py,100,50,5,21,20290272,SUCCESS,0.241004,
rqc_q100_g50_m5.py,100,50,5,22,20290273,SUCCESS,0.235962,
rqc_q100_g50_m5.py,100,50,5,23,20290274,SUCCESS,0.682417,
rqc_q100_g50_m5.py,100,50,5,24,20290275,SUCCESS,0.235638,
rqc_q100_g50_m5.py,100,50,5,25,20290276,SUCCESS,0.234316,
rqc_q100_g50_m5.py,100,50,5,26,20290277,SUCCESS,1.270892,
rqc_q100_g50_m5.py,100,50,5,27,20290278,SUCCESS,0.234500,
rqc_q100_g50_m5.py,100,50,5,28,20290279,SUCCESS,0.233958,
rqc_q100_g50_m5.py,100,50,5,29,20290280,SUCCESS,1.059857,
rqc_q100_g50_m5.py,100,50,5,30,20290281,SUCCESS,0.234779,
rqc_q100_g50_m5.py,100,50,5,31,20290282,SUCCESS,0.686258,
